type,term,count_misogynistic,pct_misogynistic,pct_non_misogynistic,ratio,source
unigram,wrote,4,1.013,0.053,19.12,all_misogynistic
unigram,stfu,3,0.759,0.053,14.34,all_misogynistic
unigram,tattoos,3,0.759,0.053,14.34,all_misogynistic
unigram,mess,3,0.759,0.053,14.34,all_misogynistic
unigram,ass,7,1.772,0.212,8.36,all_misogynistic
unigram,would,3,0.759,0.106,7.17,all_misogynistic
unigram,say,4,1.013,0.159,6.37,all_misogynistic
unigram,bitch,4,1.013,0.212,4.78,all_misogynistic
unigram,from,3,0.759,0.212,3.58,all_misogynistic
unigram,want,3,0.759,0.212,3.58,all_misogynistic
unigram,any,3,0.759,0.212,3.58,all_misogynistic
unigram,off,3,0.759,0.265,2.87,all_misogynistic
unigram,bad,3,0.759,0.265,2.87,all_misogynistic
unigram,who,3,0.759,0.424,1.79,all_misogynistic
unigram,why,4,1.013,0.583,1.74,all_misogynistic
unigram,how,5,1.266,0.742,1.71,all_misogynistic
unigram,did,3,0.759,0.477,1.59,all_misogynistic
unigram,don,5,1.266,0.847,1.49,all_misogynistic
unigram,respect,4,1.013,0.689,1.47,all_misogynistic
unigram,look,4,1.013,0.742,1.37,all_misogynistic
unigram,girl,3,0.759,0.847,0.9,all_misogynistic
unigram,cardi,3,0.759,1.377,0.55,all_misogynistic
unigram,tattoos,3,1.049,0.053,19.8,false_negatives
unigram,mess,3,1.049,0.053,19.8,false_negatives
unigram,bbl,2,0.699,0.053,13.2,false_negatives
unigram,btch,2,0.699,0.053,13.2,false_negatives
unigram,wrote,2,0.699,0.053,13.2,false_negatives
unigram,write,2,0.699,0.053,13.2,false_negatives
unigram,ass,6,2.098,0.212,9.9,false_negatives
unigram,would,3,1.049,0.106,9.9,false_negatives
unigram,head,2,0.699,0.106,6.6,false_negatives
unigram,neck,2,0.699,0.106,6.6,false_negatives
unigram,from,3,1.049,0.212,4.95,false_negatives
unigram,any,3,1.049,0.212,4.95,false_negatives
unigram,say,2,0.699,0.159,4.4,false_negatives
unigram,over,2,0.699,0.159,4.4,false_negatives
unigram,stop,2,0.699,0.159,4.4,false_negatives
unigram,many,2,0.699,0.159,4.4,false_negatives
unigram,eyes,2,0.699,0.159,4.4,false_negatives
unigram,off,3,1.049,0.265,3.96,false_negatives
unigram,want,2,0.699,0.212,3.3,false_negatives
unigram,even,2,0.699,0.212,3.3,false_negatives
unigram,more,2,0.699,0.212,3.3,false_negatives
unigram,take,2,0.699,0.212,3.3,false_negatives
unigram,fine,2,0.699,0.265,2.64,false_negatives
unigram,keep,2,0.699,0.265,2.64,false_negatives
unigram,how,5,1.748,0.742,2.36,false_negatives
unigram,did,3,1.049,0.477,2.2,false_negatives
unigram,make,2,0.699,0.318,2.2,false_negatives
unigram,don,5,1.748,0.847,2.06,false_negatives
unigram,look,4,1.399,0.742,1.89,false_negatives
unigram,never,2,0.699,0.371,1.89,false_negatives
unigram,why,3,1.049,0.583,1.8,false_negatives
unigram,yet,2,0.699,0.424,1.65,false_negatives
unigram,who,2,0.699,0.424,1.65,false_negatives
unigram,girl,3,1.049,0.847,1.24,false_negatives
unigram,respect,2,0.699,0.689,1.02,false_negatives
unigram,cardi,3,1.049,1.377,0.76,false_negatives
